기관명,과정명,회차,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,6개월후_취업률,만족도_평균점수,만족도_응답자수,개강일,종강일,직종,훈련유형,훈련시간,주소
인포섹 아카데미,클라우드 보안 융합전문가 양성과정,2,24,23,23,20,23.0,24,85.0,68.6,21,2022-12-16,2023-06-14,보안엔지니어링(20010206),K-디지털 트레이닝,960,(13486) 경기도 성남시 분당구 판교로227번길 23 (삼평동 판교R&D센터) 4층 SK인포섹
패스트캠퍼스강남학원,PM(프로덕트 매니저) 부트캠프,1,40,36,36,24,36.0,해당 정보 없음,58.400000000000006,90.4,25,2022-12-19,2023-06-02,SW제품기획(20010104),K-디지털 트레이닝,880,"(06241) 서울특별시 강남구 강남대로 364 미왕빌딩 10층, 11층"
대한상공회의소 서울기술교육센터,자율형(Autonomy) IoT기반 Reality AI융합 전문가,3,21,22,21,19,21.0,22,94.7,100,16,2022-12-20,2023-07-10,응용SW엔지니어링(20010202),K-디지털 트레이닝,950,"(07702) 서울특별시 강서구 화곡로 179 (화곡동 대한상공회의소서울기술교육센터) 지하1층, 2층(일부), 3~7층"
에티버스러닝평생교육원,AI 프로젝트 기반 S/W 전문가 양성과정,2,30,0,0,해당 정보 없음,0.0,23,해당 정보 없음,0,0,2022-12-26,2023-06-16,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(06046) 서울특별시 강남구 학동로 171 (논현동 삼익악기 빌딩) 1층,2층 일부"
에티버스러닝평생교육원,AI 프로젝트 기반 S/W 전문가 양성과정,3,30,0,0,해당 정보 없음,0.0,해당 정보 없음,해당 정보 없음,0,0,2022-12-26,2023-06-16,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(06046) 서울특별시 강남구 학동로 171 (논현동 삼익악기 빌딩) 1층,2층 일부"
스마트인재개발원,빅데이터 분석서비스 개발자과정(NCS),10,25,25,25,23,23.38,25,82.6,75.2,25,2022-01-10,2022-06-23,응용SW엔지니어링(20010202),K-디지털 트레이닝,928,(61475) 광주광역시 동구 금남로3가 중앙로 196 4층
스마트인재개발원,빅데이터 분석서비스 개발자과정(NCS),11,25,25,25,21,23.38,25,66.7,100,24,2022-02-15,2022-08-04,응용SW엔지니어링(20010202),K-디지털 트레이닝,928,(61475) 광주광역시 동구 금남로3가 중앙로 196 4층
스마트인재개발원,빅데이터 분석서비스 개발자과정(NCS),12,25,25,25,20,23.38,25,60.0,93.9,23,2022-02-15,2022-08-04,응용SW엔지니어링(20010202),K-디지털 트레이닝,928,(61475) 광주광역시 동구 금남로3가 중앙로 196 4층
스마트인재개발원,빅데이터 분석서비스 개발자과정(NCS),13,25,25,25,21,23.38,25,81.0,93.6,25,2022-03-14,2022-08-24,응용SW엔지니어링(20010202),K-디지털 트레이닝,928,(61475) 광주광역시 동구 금남로3가 중앙로 196 4층
스마트인재개발원,빅데이터 분석서비스 개발자과정(NCS),14,25,25,25,22,23.38,25,81.8,95.2,25,2022-05-02,2022-10-19,응용SW엔지니어링(20010202),K-디지털 트레이닝,928,(61475) 광주광역시 동구 금남로3가 중앙로 196 4층
